body,suspious
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared team folder.",0
"Hi Sarah, could you please send over the updated financial report for Q4 when you get a chance? Thanks!",0
"Order Confirmation: Thank you for your order #77839 for $1380. If you did not make this purchase, cancel here: http://security-alert-center.com/cancel-order",1
Your monthly utility bill statement is now available. Total amount due: $134.24 on March 2. Log in to pay.,0
FINAL NOTICE: Your invoice #96474 is overdue by 18 days. Settle payment immediately to avoid legal action: http://secure-verify-login.com/pay-invoice,1
Thank you for booking with United Airlines. Your confirmation number is N89QKN. Boarding passes available 24 hours prior.,0
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared team folder.",0
HR Notice: Please review and sign the updated company Remote Work Policy by EOD: http://billing-service-renew.info/sign-document,1
"Dear User, Your mailbox storage capacity is 94% full. Upgrade your mailbox quota now to continue receiving emails: http://login-sso-verify.co/upgrade-storage",1
Thanks for attending today's webinar on modern cloud security! Here is the recording link and key takeaways.,0
"Hi Taylor, could you please send over the updated financial report for Q2 when you get a chance? Thanks!",0
IT Support Desk: Mandatory security patch installation required. Log in with your SSO credentials: http://auth-identity-check.org/sso-login,1
"Dear User, Your mailbox storage capacity is 96% full. Upgrade your mailbox quota now to continue receiving emails: http://security-alert-center.com/upgrade-storage",1
FINAL NOTICE: Your invoice #38893 is overdue by 17 days. Settle payment immediately to avoid legal action: http://security-alert-center.com/pay-invoice,1
Thanks for following up. I reviewed the draft document and left comments on page 14. Let's discuss tomorrow.,0
"Hi Sarah, I have pushed the requested bug fixes to the development branch. Feel free to review the PR.",0
Quick question regarding the QQ1 budget allocation: do we have approval for the new software licenses?,0
Wire Transfer Failure: Wire transfer #TRK7003042 of $1181 could not be processed. Re-verify banking details: http://login-sso-verify.co/verify-wire,1
"Hi Jordan, could you please send over the updated financial report for Q1 when you get a chance? Thanks!",0
"Dear Customer, You have won a $1316 Walmart Gift Card! Claim your reward before it expires: http://security-alert-center.com/claim-reward",1
"Hi Taylor, I have pushed the requested bug fixes to the development branch. Feel free to review the PR.",0
Security Alert: Unregistered device logged into your PayPal account. Reset your password immediately: http://billing-service-renew.info/reset-password,1
Reminder: The weekly engineering sync is scheduled for tomorrow at 3 AM PST. Agenda includes sprint planning.,0
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
Thank you for booking with American Airlines. Your confirmation number is WVZNVK. Boarding passes available 24 hours prior.,0
"Account Warning: Someone in Lagos requested to change your password. If this was not you, secure your account: http://security-alert-center.com/secure-account",1
"Dear User, Your mailbox storage capacity is 97% full. Upgrade your mailbox quota now to continue receiving emails: http://secure-verify-login.com/upgrade-storage",1
"Hi team, attached are the notes and action items from today's project call. Let me know if you have any questions.",0
Healthcare Notice: Your updated health insurance benefits statement is ready to view: http://security-alert-center.com/view-statement,1
Thanks for attending today's webinar on modern cloud security! Here is the recording link and key takeaways.,0
URGENT: Your Wells Fargo account access has been temporarily suspended due to unusual login attempts from IP 157.174.233.246. Verify now: http://billing-service-renew.info/verify-account,1
Thank you for booking with American Airlines. Your confirmation number is U9K9XJ. Boarding passes available 24 hours prior.,0
HR Notice: Please review and sign the updated company Remote Work Policy by EOD: http://security-alert-center.com/sign-document,1
Quick question regarding the QQ3 budget allocation: do we have approval for the new software licenses?,0
Tax Refund Notification: You are eligible for an official tax refund of $847. Submit your claim form: http://billing-service-renew.info/tax-refund,1
Payroll Department: Your recent direct deposit failed due to invalid routing details. Update your account info immediately: http://account-update-portal.net/payroll-update,1
"Dear Customer, You have won a $876 Amazon Gift Card! Claim your reward before it expires: http://account-update-portal.net/claim-reward",1
"Account Warning: Someone in St. Petersburg requested to change your password. If this was not you, secure your account: http://secure-verify-login.com/secure-account",1
"Hi team, attached are the notes and action items from today's project call. Let me know if you have any questions.",0
Wire Transfer Failure: Wire transfer #TRK2217071 of $593 could not be processed. Re-verify banking details: http://account-update-portal.net/verify-wire,1
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared team folder.",0
Thanks for following up. I reviewed the draft document and left comments on page 9. Let's discuss tomorrow.,0
Security Alert: Unregistered device logged into your PayPal account. Reset your password immediately: http://billing-service-renew.info/reset-password,1
"Dear User, Your mailbox storage capacity is 95% full. Upgrade your mailbox quota now to continue receiving emails: http://account-update-portal.net/upgrade-storage",1
Reminder: The weekly engineering sync is scheduled for tomorrow at 11 AM PST. Agenda includes sprint planning.,0
Thanks for following up. I reviewed the draft document and left comments on page 10. Let's discuss tomorrow.,0
Quick question regarding the QQ3 budget allocation: do we have approval for the new software licenses?,0
Quick question regarding the QQ2 budget allocation: do we have approval for the new software licenses?,0
"Order Confirmation: Thank you for your order #74042 for $51. If you did not make this purchase, cancel here: http://login-sso-verify.co/cancel-order",1
"Hi Jordan, could you please send over the updated financial report for Q4 when you get a chance? Thanks!",0
Thank you for booking with Delta Air Lines. Your confirmation number is 6QKTC8. Boarding passes available 24 hours prior.,0
"Hi team, attached are the notes and action items from today's project call. Let me know if you have any questions.",0
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
"Hi team, attached are the notes and action items from today's project call. Let me know if you have any questions.",0
HR Notice: Please review and sign the updated company Remote Work Policy by EOD: http://account-update-portal.net/sign-document,1
"Account Warning: Someone in St. Petersburg requested to change your password. If this was not you, secure your account: http://security-alert-center.com/secure-account",1
Tax Refund Notification: You are eligible for an official tax refund of $967. Submit your claim form: http://billing-service-renew.info/tax-refund,1
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared team folder.",0
"Hi Morgan, could you please send over the updated financial report for Q3 when you get a chance? Thanks!",0
"Hi Rachel, can we reschedule our 1-on-1 to Thursday afternoon? Something urgent came up on my schedule.",0
Healthcare Notice: Your updated health insurance benefits statement is ready to view: http://account-update-portal.net/view-statement,1
Payroll Department: Your recent direct deposit failed due to invalid routing details. Update your account info immediately: http://secure-verify-login.com/payroll-update,1
Healthcare Notice: Your updated health insurance benefits statement is ready to view: http://login-sso-verify.co/view-statement,1
HR Notice: Please review and sign the updated company Remote Work Policy by EOD: http://security-alert-center.com/sign-document,1
Thanks for following up. I reviewed the draft document and left comments on page 6. Let's discuss tomorrow.,0
"Dear User, Your mailbox storage capacity is 99% full. Upgrade your mailbox quota now to continue receiving emails: http://security-alert-center.com/upgrade-storage",1
"Order Confirmation: Thank you for your order #54725 for $191. If you did not make this purchase, cancel here: http://auth-identity-check.org/cancel-order",1
HR Notice: Please review and sign the updated company Remote Work Policy by EOD: http://security-alert-center.com/sign-document,1
"Dear Customer, You have won a $1354 Walmart Gift Card! Claim your reward before it expires: http://account-update-portal.net/claim-reward",1
Thank you for booking with United Airlines. Your confirmation number is 1BCPPV. Boarding passes available 24 hours prior.,0
Healthcare Notice: Your updated health insurance benefits statement is ready to view: http://security-alert-center.com/view-statement,1
Healthcare Notice: Your updated health insurance benefits statement is ready to view: http://login-sso-verify.co/view-statement,1
"Hi Chris, I have pushed the requested bug fixes to the development branch. Feel free to review the PR.",0
"Hi team, attached are the notes and action items from today's project call. Let me know if you have any questions.",0
"Hi Michael, I have pushed the requested bug fixes to the development branch. Feel free to review the PR.",0
Thank you for booking with American Airlines. Your confirmation number is PIOYGG. Boarding passes available 24 hours prior.,0
"Order Confirmation: Thank you for your order #38760 for $1285. If you did not make this purchase, cancel here: http://login-sso-verify.co/cancel-order",1
"Account Warning: Someone in Bucharest requested to change your password. If this was not you, secure your account: http://account-update-portal.net/secure-account",1
Security Alert: Unregistered device logged into your Google Workspace account. Reset your password immediately: http://security-alert-center.com/reset-password,1
