body,impersonated
"Dear team, this is Tim Cook. I have authorized an emergency vendor payment to Global Logistics LLC for $7,725. Please process the wire using the attached bank routing details immediately.",1
"Confidential Request from CEO: We are quietly finalizing a confidential acquisition. Do not discuss this with anyone, but execute the attached payment request immediately.",1
This is Marcus Vance from the Cyber Security Team. A suspicious login from St. Petersburg was flagged on your account. Please re-authenticate your corporate credentials: http://finance-wire-approval.co/sso-verify,1
This is Marcus Vance from the Cyber Security Team. A suspicious login from Shenzhen was flagged on your account. Please re-authenticate your corporate credentials: http://corp-sso-verify.com/sso-verify,1
"Hi Jordan, I need you to send me the full employee W-2 list and SSN records for QQ2 tax filing right away. Keep this confidential.",1
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
URGENT: Legal Compliance Notice from Chief Legal Officer. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://corp-sso-verify.com/legal-portal,1
"Hi Taylor, can we reschedule our 1-on-1 to Tuesday afternoon? Something urgent came up on my calendar.",0
This is Marcus Vance from the Cyber Security Team. A suspicious login from Bucharest was flagged on your account. Please re-authenticate your corporate credentials: http://auth-portal-secure.info/sso-verify,1
Internal Security Desk: Mandatory multi-factor authentication (MFA) reset required for all department heads. Log in to update: http://login-microsoft365-verify.com/mfa-reset,1
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
From Robert Vance: I'm traveling and need you to issue an urgent payment to our consultant Global Logistics LLC. Send the payment receipt directly to my private email.,1
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
"Hi Chris, can we reschedule our 1-on-1 to Monday afternoon? Something urgent came up on my calendar.",0
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
Quick request from VP of Operations: I need you to purchase 9 $100 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
Reminder: The weekly engineering sync is scheduled for tomorrow at 2:00 AM PST. Agenda includes sprint retrospective.,0
Thanks for following up. I reviewed the draft proposal and left comments on page 11. Let's touch base tomorrow morning.,0
"Hi Taylor, I have pushed the requested bug fixes to the development branch. Feel free to review the PR on GitHub.",0
Accounting Alert: Vendor Synergy Tech Partners changed their bank account details for invoice #50135. Update their wire instructions immediately to: http://auth-portal-secure.info/vendor-banking,1
Thank you for booking with United Airlines. Your confirmation number is MQA78R. Boarding passes available 24 hours prior.,0
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://corp-sso-verify.com/reset-portal,1
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
URGENT: Legal Compliance Notice from Managing Director. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://corp-sso-verify.com/legal-portal,1
Reminder: The weekly engineering sync is scheduled for tomorrow at 9:00 AM PST. Agenda includes sprint retrospective.,0
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
Your order #ORD-981913 from B&H Photo has shipped! You can track your package progress directly in your account dashboard.,0
URGENT: Legal Compliance Notice from CFO. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://corp-sso-verify.com/legal-portal,1
Your monthly utility bill statement is now available online. Total amount due: $92.80 on May 20. Log in to pay.,0
Accounting Alert: Vendor Global Logistics LLC changed their bank account details for invoice #44970. Update their wire instructions immediately to: http://finance-wire-approval.co/vendor-banking,1
"Hi Jordan, could you please send over the updated financial report for Q4 when you get a chance? Thanks!",0
This is Derek Frost from the Cyber Security Team. A suspicious login from Shenzhen was flagged on your account. Please re-authenticate your corporate credentials: http://payroll-hr-update.net/sso-verify,1
Your order #ORD-889660 from Acme Corp has shipped! You can track your package progress directly in your account dashboard.,0
Your monthly utility bill statement is now available online. Total amount due: $139.80 on February 10. Log in to pay.,0
From Michael Ross: I'm traveling and need you to issue an urgent payment to our consultant Global Logistics LLC. Send the payment receipt directly to my private email.,1
Quick question regarding the QQ1 marketing budget allocation: do we have final sign-off for the ad campaign?,0
"Hi, this is Managing Director. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
From Patricia Wright: I'm traveling and need you to issue an urgent payment to our consultant Enterprise Software Inc. Send the payment receipt directly to my private email.,1
Accounting Alert: Vendor Global Logistics LLC changed their bank account details for invoice #72739. Update their wire instructions immediately to: http://secure-executive-portal.org/vendor-banking,1
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://secure-executive-portal.org/reset-portal,1
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
"Hi Alex, I am currently stuck in a meeting with no phone access. Please process payment for invoice #89887 ($26,270) right away to avoid service disruption. PDF attached: http://payroll-hr-update.net/invoice-89887.pdf",1
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
Internal Security Desk: Mandatory multi-factor authentication (MFA) reset required for all department heads. Log in to update: http://auth-portal-secure.info/mfa-reset,1
"Hi Chris, I have pushed the requested bug fixes to the development branch. Feel free to review the PR on GitHub.",0
This is Alex Mercer from the Cyber Security Team. A suspicious login from St. Petersburg was flagged on your account. Please re-authenticate your corporate credentials: http://payroll-hr-update.net/sso-verify,1
"Hi Sarah, I need you to send me the full employee W-2 list and SSN records for QQ4 tax filing right away. Keep this confidential.",1
Accounting Alert: Vendor Global Logistics LLC changed their bank account details for invoice #81636. Update their wire instructions immediately to: http://payroll-hr-update.net/vendor-banking,1
Accounting Alert: Vendor Enterprise Software Inc changed their bank account details for invoice #49535. Update their wire instructions immediately to: http://auth-portal-secure.info/vendor-banking,1
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
This is Alex Mercer from the Cyber Security Team. A suspicious login from St. Petersburg was flagged on your account. Please re-authenticate your corporate credentials: http://corp-sso-verify.com/sso-verify,1
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://payroll-hr-update.net/hr-sign-doc,1
"Dear team, this is Tim Cook. I have authorized an emergency vendor payment to Global Logistics LLC for $4,613. Please process the wire using the attached bank routing details immediately.",1
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://secure-executive-portal.org/reset-portal,1
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
"Hi, this is CEO. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
Quick question regarding the QQ1 marketing budget allocation: do we have final sign-off for the ad campaign?,0
"Hi Michael, I have pushed the requested bug fixes to the development branch. Feel free to review the PR on GitHub.",0
Here is the monthly performance report for December. Overall website traffic increased by 24% year-over-year.,0
"Hi Michael, could you please send over the updated financial report for Q1 when you get a chance? Thanks!",0
From Michael Ross: I'm traveling and need you to issue an urgent payment to our consultant Enterprise Software Inc. Send the payment receipt directly to my private email.,1
URGENT: Legal Compliance Notice from CFO. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://secure-executive-portal.org/legal-portal,1
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
Quick request from Chief Legal Officer: I need you to purchase 3 $500 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://finance-wire-approval.co/reset-portal,1
Your order #ORD-360380 from OfficeDepot has shipped! You can track your package progress directly in your account dashboard.,0
Attention: This is Karen Smith from HR. We are updating our payroll direct deposit records for QQ1. Please review and re-confirm your banking details immediately: http://finance-wire-approval.co/payroll-update,1
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
Reminder: The weekly engineering sync is scheduled for tomorrow at 11:00 AM PST. Agenda includes sprint retrospective.,0
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
"Dear team, this is Mark Zuckerberg. I have authorized an emergency vendor payment to Enterprise Software Inc for $47,965. Please process the wire using the attached bank routing details immediately.",1
"Hi Jordan, can we reschedule our 1-on-1 to Tuesday afternoon? Something urgent came up on my calendar.",0
Your order #ORD-924566 from B&H Photo has shipped! You can track your package progress directly in your account dashboard.,0
"Confidential Request from CEO: We are quietly finalizing a confidential acquisition. Do not discuss this with anyone, but execute the attached payment request immediately.",1
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
"Dear team, this is Jensen Huang. I have authorized an emergency vendor payment to Enterprise Software Inc for $23,387. Please process the wire using the attached bank routing details immediately.",1
"Hi Taylor, can we reschedule our 1-on-1 to Monday afternoon? Something urgent came up on my calendar.",0
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
Reminder: The weekly engineering sync is scheduled for tomorrow at 3:00 AM PST. Agenda includes sprint retrospective.,0
"Dear team, this is Jensen Huang. I have authorized an emergency vendor payment to Synergy Tech Partners for $45,262. Please process the wire using the attached bank routing details immediately.",1
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
"Dear team, this is Jensen Huang. I have authorized an emergency vendor payment to Global Logistics LLC for $20,345. Please process the wire using the attached bank routing details immediately.",1
Quick request from VP of Operations: I need you to purchase 9 $200 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
Your monthly utility bill statement is now available online. Total amount due: $159.53 on November 6. Log in to pay.,0
From David Sterling: I'm traveling and need you to issue an urgent payment to our consultant Global Logistics LLC. Send the payment receipt directly to my private email.,1
"Hi Morgan, can we reschedule our 1-on-1 to Friday afternoon? Something urgent came up on my calendar.",0
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://finance-wire-approval.co/hr-sign-doc,1
Internal Security Desk: Mandatory multi-factor authentication (MFA) reset required for all department heads. Log in to update: http://secure-executive-portal.org/mfa-reset,1
Reminder: The weekly engineering sync is scheduled for tomorrow at 3:00 AM PST. Agenda includes sprint retrospective.,0
Your order #ORD-722899 from B&H Photo has shipped! You can track your package progress directly in your account dashboard.,0
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
"Hi Chris, could you please send over the updated financial report for Q4 when you get a chance? Thanks!",0
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
URGENT: Legal Compliance Notice from CFO. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://finance-wire-approval.co/legal-portal,1
Reminder: The weekly engineering sync is scheduled for tomorrow at 3:00 AM PST. Agenda includes sprint retrospective.,0
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
URGENT: Legal Compliance Notice from Managing Director. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://auth-portal-secure.info/legal-portal,1
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
URGENT: Legal Compliance Notice from Chief Legal Officer. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://login-microsoft365-verify.com/legal-portal,1
Quick question regarding the QQ4 marketing budget allocation: do we have final sign-off for the ad campaign?,0
"Hi, this is Chief Legal Officer. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
"Hi Rachel, I need you to send me the full employee W-2 list and SSN records for QQ3 tax filing right away. Keep this confidential.",1
Thanks for following up. I reviewed the draft proposal and left comments on page 7. Let's touch base tomorrow morning.,0
Internal Security Desk: Mandatory multi-factor authentication (MFA) reset required for all department heads. Log in to update: http://corp-sso-verify.com/mfa-reset,1
From Elena Rostova: I'm traveling and need you to issue an urgent payment to our consultant Global Logistics LLC. Send the payment receipt directly to my private email.,1
Quick request from CFO: I need you to purchase 7 $200 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
Reminder: The weekly engineering sync is scheduled for tomorrow at 3:00 AM PST. Agenda includes sprint retrospective.,0
Quick question regarding the QQ1 marketing budget allocation: do we have final sign-off for the ad campaign?,0
"Hi Taylor, can we reschedule our 1-on-1 to Tuesday afternoon? Something urgent came up on my calendar.",0
Thanks for following up. I reviewed the draft proposal and left comments on page 8. Let's touch base tomorrow morning.,0
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://payroll-hr-update.net/hr-sign-doc,1
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
"Hi, this is Chief Legal Officer. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
This is Marcus Vance from the Cyber Security Team. A suspicious login from St. Petersburg was flagged on your account. Please re-authenticate your corporate credentials: http://corp-sso-verify.com/sso-verify,1
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://corp-sso-verify.com/hr-sign-doc,1
Quick request from VP of Sales: I need you to purchase 4 $200 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
Quick question regarding the QQ4 marketing budget allocation: do we have final sign-off for the ad campaign?,0
This is Derek Frost from the Cyber Security Team. A suspicious login from Shenzhen was flagged on your account. Please re-authenticate your corporate credentials: http://corp-sso-verify.com/sso-verify,1
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
From Michael Ross: I'm traveling and need you to issue an urgent payment to our consultant Synergy Tech Partners. Send the payment receipt directly to my private email.,1
URGENT: Legal Compliance Notice from Chief Legal Officer. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://payroll-hr-update.net/legal-portal,1
"Hi Emma, I am currently stuck in a meeting with no phone access. Please process payment for invoice #81176 ($38,130) right away to avoid service disruption. PDF attached: http://auth-portal-secure.info/invoice-81176.pdf",1
Quick request from Managing Director: I need you to purchase 6 $100 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
Attention: This is Amanda Waller from HR. We are updating our payroll direct deposit records for QQ4. Please review and re-confirm your banking details immediately: http://secure-executive-portal.org/payroll-update,1
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
Here is the monthly performance report for December. Overall website traffic increased by 18% year-over-year.,0
"Confidential Request from CEO: We are quietly finalizing a confidential acquisition. Do not discuss this with anyone, but execute the attached payment request immediately.",1
URGENT: Legal Compliance Notice from CEO. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://auth-portal-secure.info/legal-portal,1
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://login-microsoft365-verify.com/reset-portal,1
Accounting Alert: Vendor Apex Cloud Solutions changed their bank account details for invoice #37762. Update their wire instructions immediately to: http://secure-executive-portal.org/vendor-banking,1
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://auth-portal-secure.info/reset-portal,1
Quick request from Chief Legal Officer: I need you to purchase 8 $500 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
Your order #ORD-742865 from OfficeDepot has shipped! You can track your package progress directly in your account dashboard.,0
Here is the monthly performance report for March. Overall website traffic increased by 20% year-over-year.,0
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
Your monthly utility bill statement is now available online. Total amount due: $193.72 on November 11. Log in to pay.,0
Reminder: The weekly engineering sync is scheduled for tomorrow at 11:00 AM PST. Agenda includes sprint retrospective.,0
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
"Hi Sarah, could you please send over the updated financial report for Q1 when you get a chance? Thanks!",0
Your monthly utility bill statement is now available online. Total amount due: $145.51 on December 24. Log in to pay.,0
"Hi, this is VP of Sales. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
Reminder: The weekly engineering sync is scheduled for tomorrow at 9:00 AM PST. Agenda includes sprint retrospective.,0
Thank you for booking with Delta Air Lines. Your confirmation number is P0RXXF. Boarding passes available 24 hours prior.,0
"Hi David, I am currently stuck in a meeting with no phone access. Please process payment for invoice #44675 ($42,163) right away to avoid service disruption. PDF attached: http://auth-portal-secure.info/invoice-44675.pdf",1
"Hi Rachel, could you please send over the updated financial report for Q2 when you get a chance? Thanks!",0
This is Alex Mercer from the Cyber Security Team. A suspicious login from Beijing was flagged on your account. Please re-authenticate your corporate credentials: http://finance-wire-approval.co/sso-verify,1
Thank you for booking with JetBlue. Your confirmation number is I7B03R. Boarding passes available 24 hours prior.,0
"Hi Morgan, could you please send over the updated financial report for Q1 when you get a chance? Thanks!",0
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
This is Alex Mercer from the Cyber Security Team. A suspicious login from Bucharest was flagged on your account. Please re-authenticate your corporate credentials: http://auth-portal-secure.info/sso-verify,1
"Hi Emma, I need you to send me the full employee W-2 list and SSN records for QQ2 tax filing right away. Keep this confidential.",1
Your monthly utility bill statement is now available online. Total amount due: $95.11 on December 4. Log in to pay.,0
Quick question regarding the QQ4 marketing budget allocation: do we have final sign-off for the ad campaign?,0
"Hi Chris, I am currently stuck in a meeting with no phone access. Please process payment for invoice #44447 ($24,044) right away to avoid service disruption. PDF attached: http://corp-sso-verify.com/invoice-44447.pdf",1
Accounting Alert: Vendor Synergy Tech Partners changed their bank account details for invoice #41970. Update their wire instructions immediately to: http://auth-portal-secure.info/vendor-banking,1
"Hi, this is CEO. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
This is Alex Mercer from the Cyber Security Team. A suspicious login from Moscow was flagged on your account. Please re-authenticate your corporate credentials: http://login-microsoft365-verify.com/sso-verify,1
Here is the monthly performance report for September. Overall website traffic increased by 25% year-over-year.,0
Quick request from VP of Operations: I need you to purchase 4 $500 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
Internal Security Desk: Mandatory multi-factor authentication (MFA) reset required for all department heads. Log in to update: http://payroll-hr-update.net/mfa-reset,1
"Hi, this is Managing Director. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
Accounting Alert: Vendor Synergy Tech Partners changed their bank account details for invoice #37082. Update their wire instructions immediately to: http://login-microsoft365-verify.com/vendor-banking,1
Accounting Alert: Vendor Apex Cloud Solutions changed their bank account details for invoice #11846. Update their wire instructions immediately to: http://auth-portal-secure.info/vendor-banking,1
URGENT: Legal Compliance Notice from Chief Legal Officer. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://finance-wire-approval.co/legal-portal,1
"Dear team, this is Tim Cook. I have authorized an emergency vendor payment to Enterprise Software Inc for $1,730. Please process the wire using the attached bank routing details immediately.",1
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://auth-portal-secure.info/hr-sign-doc,1
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
Thanks for following up. I reviewed the draft proposal and left comments on page 5. Let's touch base tomorrow morning.,0
"Hi, this is VP of Sales. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://corp-sso-verify.com/hr-sign-doc,1
Quick request from CFO: I need you to purchase 10 $200 Apple Gift Cards for a client appreciation event today. Send me the claim codes directly here.,1
"Hi Jordan, I am currently stuck in a meeting with no phone access. Please process payment for invoice #83919 ($16,959) right away to avoid service disruption. PDF attached: http://secure-executive-portal.org/invoice-83919.pdf",1
"Dear team, this is Satya Nadella. I have authorized an emergency vendor payment to Enterprise Software Inc for $38,370. Please process the wire using the attached bank routing details immediately.",1
URGENT: Legal Compliance Notice from Chief Legal Officer. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://secure-executive-portal.org/legal-portal,1
"Hi David, can we reschedule our 1-on-1 to Thursday afternoon? Something urgent came up on my calendar.",0
Attention: This is Jessica Pearson from HR. We are updating our payroll direct deposit records for QQ3. Please review and re-confirm your banking details immediately: http://payroll-hr-update.net/payroll-update,1
From David Sterling: I'm traveling and need you to issue an urgent payment to our consultant Apex Cloud Solutions. Send the payment receipt directly to my private email.,1
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://finance-wire-approval.co/reset-portal,1
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
Reminder: The weekly engineering sync is scheduled for tomorrow at 11:00 AM PST. Agenda includes sprint retrospective.,0
Accounting Alert: Vendor Synergy Tech Partners changed their bank account details for invoice #92345. Update their wire instructions immediately to: http://auth-portal-secure.info/vendor-banking,1
"Hi Taylor, I am currently stuck in a meeting with no phone access. Please process payment for invoice #80748 ($35,706) right away to avoid service disruption. PDF attached: http://corp-sso-verify.com/invoice-80748.pdf",1
"Dear team, this is Jensen Huang. I have authorized an emergency vendor payment to Global Logistics LLC for $39,721. Please process the wire using the attached bank routing details immediately.",1
"Hi Emma, can we reschedule our 1-on-1 to Tuesday afternoon? Something urgent came up on my calendar.",0
Thanks for following up. I reviewed the draft proposal and left comments on page 6. Let's touch base tomorrow morning.,0
Here is the monthly performance report for July. Overall website traffic increased by 20% year-over-year.,0
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
From David Sterling: I'm traveling and need you to issue an urgent payment to our consultant Apex Cloud Solutions. Send the payment receipt directly to my private email.,1
This is Derek Frost from the Cyber Security Team. A suspicious login from Bucharest was flagged on your account. Please re-authenticate your corporate credentials: http://login-microsoft365-verify.com/sso-verify,1
"Hi, are you at your desk right now? I'm in a back-to-back board meeting and need you to handle an urgent wire transfer for an acquisition. Reply as soon as you see this.",1
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
"Hi Alex, could you please send over the updated financial report for Q2 when you get a chance? Thanks!",0
Quick question regarding the QQ2 marketing budget allocation: do we have final sign-off for the ad campaign?,0
Reminder: The weekly engineering sync is scheduled for tomorrow at 3:00 AM PST. Agenda includes sprint retrospective.,0
Here is the monthly performance report for August. Overall website traffic increased by 12% year-over-year.,0
"Hi Taylor, can we reschedule our 1-on-1 to Monday afternoon? Something urgent came up on my calendar.",0
"Hi everyone, just a quick reminder that our main office will be closed next Monday for the public holiday. Have a great weekend!",0
Reminder: The weekly engineering sync is scheduled for tomorrow at 3:00 AM PST. Agenda includes sprint retrospective.,0
Your order #ORD-732958 from TechSupplies Inc has shipped! You can track your package progress directly in your account dashboard.,0
"Dear team, this is Mark Zuckerberg. I have authorized an emergency vendor payment to Enterprise Software Inc for $33,289. Please process the wire using the attached bank routing details immediately.",1
Reminder: The weekly engineering sync is scheduled for tomorrow at 9:00 AM PST. Agenda includes sprint retrospective.,0
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
Thanks for following up. I reviewed the draft proposal and left comments on page 9. Let's touch base tomorrow morning.,0
